text,airline_sentiment,label
rock hit plane delay never easy day us airways ya never fail let,negative,0
meant changed planes hate seating wing u wanted would booked u get formal complaint,negative,0
thanks,positive,1
called btv desk information exists systems make easy customer access,negative,0
make sure remember load bags onto plane cancelled flight flight forget,negative,0
sincerely sorry sean reservations working hard answer everyone call appreciate patience false,negative,0
standby denver delayed confirmed aspen whose flights cancelled flighted day confidence,negative,0
yep hour logan gangway broke cabin crew stuck plane arrived passengers request butt massages,negative,0
maybe find different gate ua,negative,0
minutes plus get two first one transferred spanish hotline unacceptable,negative,0
added passbook support ios application finally get add collection,positive,1
hopefully guys willing cover lovely car rental living charges love two extra days,negative,0
ringling brothers barnum bailey keep eyes peeled clown car,negative,0
reaching hardworking mom trying best,negative,0
great job great service sdf weekend winter storm,positive,1
seriously worst remember last time someone knew flight delayed cancelled flightled etc,negative,0
jfk sort guess things small airport whatever,negative,0
hi wanted see new routes planned year newark love flying guys hope,positive,1
second time flying houston mins waiting luggage baggage typical still waiting,negative,0
father loved working well panam,positive,1
go delayed chicago offer flight never intend fly,negative,0
pls send tech baggage office poor guy trying print claim amp need get home upgrade printers mfps,negative,0
worst customer service experience ever today get together,negative,0
flying aa min delay mechanical issues perhaps consider maintenance,negative,0
recap bounced flight lied hung supposed think,negative,0
sucks delayed mom flight x cancelled flightled delayed flight today mech issues sleep airport,negative,0
absolutely sick wifi,negative,0
idea going terminal five jfk seems zero traffic movement,negative,0
waiting half hour checked baggage delivered updates ground crew,negative,0
great la flight clarence frank guys hoot thanks,positive,1
landed crew gracious accommodating although long delay appreciate prompt response,positive,1
delayed,negative,0
good thing holding flight peeps late flight connecting flight still make destination time,positive,1
would kill let miles expire,negative,0
seats gvn away strangers chicago rented van drove toledo help offer hotel,negative,0
exactly hang hook,negative,0
suggestions tell customers approximate wait times hold min allow cancelled flight online,negative,0
different airport way getting different airport,negative,0
rating southwest scale,negative,0
course need help dming ladies gents day solution hope best lax,negative,0
charge making decisions cancelled flightling flight ua unacceptable belize right,negative,0
nice could get answer even simple would want know,negative,0
flight experiences r often frustrating day ua chi wpg flight attendant april amazing best,positive,1
help us phone gate checkin book travel clients cannot believe lack service,negative,0
seriously pls pls bring people help us still flights ord frm dfw want,negative,0
thanks concerned conflicting texts receiving flight drive hours,negative,0
anxious see care customers inconvenienced cancelled flightledflight,negative,0
thank cc,positive,1
cancelled flighting flight today weather dallas without charged,negative,0
week valentines day feeling luv going hrs bags even coming w,negative,0
like hear anything help thanks ey another empty offer help,negative,0
woohoo made day looked find thank,positive,1
missed uncle funeral hope find another flight considerate,negative,0
love guys take airlines week makes love appreciate much onlywaytofly,positive,1
might look good pita inedible last year delicious shrimp cocktail year garbage,negative,0
well bar set low guys really good apology game change u guys learn,negative,0
better holdon everythingsgonnabealright brandloveaffair truebluelove travel business,positive,1
amazing follow back please,positive,1
thanks hoping wed get back dfw,positive,1
made huge relief thanks help,positive,1
yeah sorry always problem united international reputation problems,negative,0
teach gate agents lie learn overhead space bag check,negative,0
dm pay money want reach help way around,negative,0
thanks,positive,1
thanks,positive,1
tried extremely rude even supervisor asked speak supervisor told,negative,0
phone number supervisor speak regarding travels today,negative,0
point flights past week last one really sucks shit,negative,0
link flight last week trublue account num answering make fly dont,negative,0
call says busy call back late flightr terrible customer service,negative,0
fly american family severe weather excuse call make change computer u cant modify,negative,0
know need spotify stat guiltypleasures,positive,1
got kidding look pictures hoping flight came whole story much,negative,0
also wait hours speak someone phone wait hours,negative,0
love report horrible flight team let make worse get seat snacks,negative,0
disappointed united feed small children amp half hour flight honolulu los angeles appalling esp food waspaid,negative,0
real issue trying get thru hold hours amp got disconnected please help,negative,0
bags hv posted board flight carsl switched carsl comedic watching passengers run frm othr,negative,0
q thanks wondering ones disguised call,negative,0
flights leaving dallas right maui trying figure delayed flight going,negative,0
flight delayed missed connecting flight stuck philadelphia night hotel voucher thanks nothing,negative,0
clearly united lives stone age people need computers make site better tablets phones,negative,0
called number said one available take call guys insane,negative,0
fucking kidding,negative,0
personal device entertainment system great app crashing every mins glad free,negative,0
cancelled flightled flight bna today hold hour frustrated,negative,0
delay perfect time learn swift programming,negative,0
according dms owed refund please may provided contact number go bank file claim,negative,0
plz kys sitting plane hour want leave,negative,0
awesome thanks,positive,1
sure,negative,0
staff deck cabin ua sfo gt bos exceptional today please tell well done,positive,1
awesome book next christmas vacatinn december ways want devalue mileage plus,positive,1
buy woody making much worse understaffing rudeness pre rookie mistakes,negative,0
hold hour still know bags refund flight weather,negative,0
please find bag singapore three days already without bag last known destination lax tag please help,negative,0
yes hope update soon need clothes meeting tomorrow,negative,0
thanks offer finally made destination albeit hours late flight,negative,0
standing las vegas flight says time reps telling us flights denver cancelled flightled help,negative,0
aa flight san antonio dallas cancelled flighted,negative,0
put sour taste customer vacation joke watching care thanks choosing us videos,negative,0
hold min estimated answer time help,negative,0
okay understand delay one way ways c mon annoyed flights,negative,0
